GEO_ID,STATENAME,DISTRICT,NAME,P001001,P001001ERR,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001011,P001012,P001013,P001014,P001015,P001016,P001017,P001018,P001019,P001020,P001021,P001022,P001023,P001024,P001025,P001026,P001027,P001028,P001029,P001030,P001031,P001032,P001033,P001034,P001035,P001036,P001037,P001038,P001039,P001040,P001041,P001042,P001043,P001044,P001045,P001046,P001047,P001048,P001049,P001050,P001051,P001052,P001053,P001054,P001055,P001056,P001057,P001058,P001059,P001060,P001061,P001062,P001063,P001064,P001065,P001066,P001067,P001068,P001069,P001070,P001071
5001100US3903,Ohio,3,"Congressional District 3 (111th Congress), Ohio",640899,null,628037,503928,106927,1374,11764,161,3883,12862,11870,5254,2165,2218,128,621,610,258,41,274,29,7,13,58,176,18,900,556,107,10,49,41,2,12,52,26,2,15,3,13,3,6,0,1,1,0,1,70,41,2,14,2,0,2,5,0,0,0,4,0,0,0,0,21,15,2,4,0,0,0,1,1
5001100US3904,Ohio,4,"Congressional District 4 (111th Congress), Ohio",632771,null,621165,578881,32416,1265,4495,212,3896,11606,10897,5708,2413,1110,140,879,247,49,11,139,25,7,29,46,85,9,643,424,39,10,35,49,7,18,33,14,1,1,0,4,2,0,0,2,1,1,2,52,24,0,13,7,0,0,3,0,1,1,3,0,0,0,0,12,9,2,1,0,0,0,2,2
5001100US3905,Ohio,5,"Congressional District 5 (111th Congress), Ohio",627799,null,617718,592941,9185,1386,3822,118,10266,10081,9575,3387,2276,1061,106,2280,105,33,12,134,18,5,38,24,79,17,458,205,34,4,60,30,8,40,32,26,4,1,2,0,0,2,0,10,0,0,0,45,13,6,17,0,1,0,3,0,4,0,0,1,0,0,0,3,2,1,0,0,0,0,0,0
5001100US3906,Ohio,6,"Congressional District 6 (111th Congress), Ohio",623742,null,614863,591216,16056,1292,4370,100,1829,8879,8178,3518,2598,1041,100,442,205,45,10,100,21,0,16,24,53,5,643,441,50,3,26,38,5,17,24,13,2,5,3,6,0,4,1,4,0,0,1,47,29,2,3,2,2,0,2,3,0,3,0,1,0,0,0,11,9,2,0,0,0,0,0,0
5001100US3907,Ohio,7,"Congressional District 7 (111th Congress), Ohio",683371,null,667300,579707,69897,1643,9152,260,6641,16071,14723,6933,3079,2204,173,894,554,271,53,254,45,6,33,57,132,35,1219,801,128,35,38,57,2,34,49,20,4,20,4,2,8,5,4,3,0,1,4,97,60,3,17,7,0,0,3,0,0,2,4,0,0,1,0,32,28,4,0,0,0,0,0,0
5001100US3908,Ohio,8,"Congressional District 8 (111th Congress), Ohio",663644,null,650002,586553,40388,1416,12201,430,9014,13642,12859,5969,2454,2110,122,1117,269,193,52,202,30,1,31,58,220,31,715,414,95,20,42,43,6,7,39,24,5,9,0,3,2,1,2,0,0,0,3,57,35,2,10,1,1,0,4,0,0,2,2,0,0,0,0,4,4,0,0,0,0,0,7,7
5001100US3909,Ohio,9,"Congressional District 9 (111th Congress), Ohio",619010,null,601064,486267,94752,1796,7824,149,10276,17946,16712,8136,2558,1807,78,2377,585,181,69,614,23,3,67,39,137,38,1168,667,114,9,168,39,3,54,37,34,4,14,2,9,4,4,5,1,0,0,0,53,24,4,17,2,1,4,1,0,0,0,0,0,0,0,0,9,5,3,0,0,1,0,4,4
5001100US3910,Ohio,10,"Congressional District 10 (111th Congress), Ohio",599205,null,584982,500084,52588,1434,13093,152,17631,14223,13246,5118,1781,2188,160,1942,486,204,35,628,50,9,100,84,304,157,905,493,92,11,109,40,5,24,38,23,11,7,6,14,4,17,7,1,1,1,1,61,25,5,16,1,4,2,6,0,0,1,1,0,0,0,0,11,11,0,0,0,0,0,0,0
5001100US3911,Ohio,11,"Congressional District 11 (111th Congress), Ohio",540432,null,529652,187339,323174,1030,12730,99,5280,10780,9445,4296,482,1220,45,503,1324,527,119,655,52,3,41,35,131,12,1245,862,97,12,76,25,1,13,19,12,2,38,4,29,22,20,8,3,0,0,2,85,42,4,21,3,0,2,3,1,0,3,3,1,0,2,0,3,2,1,0,0,0,0,2,2
5001100US3912,Ohio,12,"Congressional District 12 (111th Congress), Ohio",756303,null,736374,530008,165571,1634,27578,403,11180,19929,18009,7910,2249,3392,150,1248,1146,581,174,506,77,13,52,63,405,43,1760,1158,197,25,86,53,10,25,52,40,5,31,7,24,20,17,7,2,0,0,1,140,85,7,23,6,5,0,6,2,3,0,2,1,0,0,0,20,16,3,0,1,0,0,0,0
5001100US3913,Ohio,13,"Congressional District 13 (111th Congress), Ohio",649102,null,633602,533382,78535,1447,11394,119,8725,15500,14367,6825,2383,2009,94,1350,615,161,24,515,58,7,47,31,171,77,1073,588,102,21,125,74,6,34,44,23,10,13,7,9,3,6,3,2,2,1,0,54,19,7,13,2,3,1,1,0,1,0,0,0,6,1,0,6,5,0,0,1,0,0,0,0
5001100US3914,Ohio,14,"Congressional District 14 (111th Congress), Ohio",648128,null,638718,596608,23927,813,11710,119,5541,9410,8857,3608,1769,1902,132,702,224,83,7,133,30,3,23,44,184,13,508,324,23,1,37,29,2,10,35,18,3,14,0,7,0,0,0,5,0,0,0,40,20,5,2,2,1,1,5,0,0,3,1,0,0,0,0,5,5,0,0,0,0,0,0,0
5001100US3915,Ohio,15,"Congressional District 15 (111th Congress), Ohio",681557,null,664072,556659,63688,1691,26023,403,15608,17485,16082,6887,2600,3398,139,1292,534,316,81,284,50,2,50,85,324,40,1290,745,126,24,101,84,5,33,65,34,8,26,2,8,3,17,5,0,2,0,2,99,53,6,13,1,6,3,5,2,1,2,0,0,2,5,0,14,10,4,0,0,0,0,0,0
5001100US3916,Ohio,16,"Congressional District 16 (111th Congress), Ohio",644691,null,632939,591735,32071,1376,4844,158,2755,11752,10997,5794,2425,1323,98,640,339,61,18,126,16,19,26,33,65,14,711,478,74,7,57,21,7,9,31,4,10,3,0,3,0,1,0,4,0,2,0,34,18,2,6,2,0,1,4,0,0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,0
5001100US3917,Ohio,17,"Congressional District 17 (111th Congress), Ohio",600111,null,587065,501341,73283,1256,6222,142,4821,13046,12060,6115,2270,1333,125,869,545,155,45,370,20,11,36,48,93,25,904,616,64,10,63,37,9,23,25,21,4,18,0,2,4,6,1,0,0,1,0,62,13,7,18,3,0,0,4,0,0,11,6,0,0,0,0,19,17,0,0,1,0,1,1,1
5001100US3918,Ohio,18,"Congressional District 18 (111th Congress), Ohio",653167,null,642597,623966,12558,1628,2125,279,2041,10570,9723,4552,3135,896,119,540,201,41,20,71,12,2,31,47,37,19,797,611,39,10,24,24,2,18,46,6,1,4,0,1,4,0,2,1,2,0,2,39,9,5,15,1,1,0,7,0,0,1,0,0,0,0,0,11,7,1,0,0,3,0,0,0
5001100US4001,Oklahoma,1,"Congressional District 1 (111th Congress), Oklahoma",754310,null,708846,533557,69030,51763,16067,488,37941,45464,42917,5189,27075,2655,197,2857,3251,223,66,395,191,49,394,95,216,64,2398,1445,77,17,95,286,26,217,90,30,9,28,12,35,10,3,1,8,3,1,5,118,38,8,34,10,1,2,13,8,0,1,2,0,1,0,0,24,23,1,0,0,0,0,7,7
5001100US4002,Oklahoma,2,"Congressional District 2 (111th Congress), Oklahoma",729887,null,672375,492688,25841,137326,3734,573,12213,57512,55542,2745,46602,925,205,1479,2461,42,12,116,240,88,504,36,54,33,1918,1264,32,13,28,225,30,214,35,15,8,15,4,20,5,1,0,7,2,0,0,48,23,1,2,6,0,0,12,3,0,0,0,1,0,0,0,3,2,0,0,0,0,1,1,1
5001100US4003,Oklahoma,3,"Congressional District 3 (111th Congress), Oklahoma",732394,null,698868,588946,26896,48029,7371,1457,26169,33526,31823,3758,20552,1688,219,3051,1316,97,19,265,132,51,397,70,158,50,1622,940,52,15,60,179,20,211,68,29,1,10,6,15,5,1,0,5,3,0,2,75,26,8,10,6,2,1,14,5,0,2,1,0,0,0,0,6,6,0,0,0,0,0,0,0
5001100US4004,Oklahoma,4,"Congressional District 4 (111th Congress), Oklahoma",785424,null,740960,602323,51614,48341,17375,1111,20196,44464,41696,6411,23954,3828,384,3035,2076,457,100,446,153,60,355,166,206,65,2587,1299,234,55,125,298,53,203,150,62,10,33,7,22,14,13,2,3,1,0,3,147,52,21,31,5,2,3,19,9,0,2,1,1,1,0,0,30,27,3,0,0,0,0,4,4
5001100US4005,Oklahoma,5,"Congressional District 5 (111th Congress), Oklahoma",749336,null,708981,489331,104263,36228,20529,740,57890,40355,37426,6953,16774,3206,227,4073,3730,494,97,644,172,65,477,115,288,111,2753,1609,163,16,137,252,30,179,94,61,16,54,15,69,13,11,8,6,6,2,12,164,65,8,28,5,3,2,27,8,5,4,9,0,0,0,0,9,6,2,0,0,1,0,3,3
